GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaqadiplom,ru.netology.javaqadiplom,CreditAccount,5,65,1,9,2,19,2,8,1,4
javaqadiplom,ru.netology.javaqadiplom,Account,13,6,0,0,6,2,5,2,5,2
